time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.300000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.299999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365879305914378561e-01,2.982743842169122139e-03,4.475799613501418861e-04
9.999999999999786837e-03,4.300248965533045586e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.300247697068758090e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365816193464356898e-01,3.090741641380928550e-03,5.152637723950803661e-04
1.999999999999957367e-02,4.300498676788354069e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.300495813945267032e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365732150707739567e-01,3.069023768214024228e-03,5.085036883347715531e-04
2.999999999999936051e-02,4.300743597694929865e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.300739313915709627e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365689602207387665e-01,3.002233560385619837e-03,4.475743971600332216e-04
3.999999999999914735e-02,4.300983850761940230e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.300978800475331876e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365964097800600907e-01,2.940944230882230892e-03,3.850141247603300343e-04
4.999999999999893419e-02,4.301219481086624996e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.301215127364667601e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365818413778560503e-01,2.932562063214211312e-03,3.758205898687361213e-04
6.000000000000049738e-02,4.301450642492228860e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.301447188770672336e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365705903797839627e-01,2.954687683174889168e-03,4.084811962206114089e-04
7.000000000000028422e-02,4.301677361961128154e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.301674984693347747e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365935612806016719e-01,3.100682431448009702e-03,5.588206584452581893e-04
8.000000000000007105e-02,4.301899772546141087e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.301898515132692724e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366031774327741033e-01,3.068894163054808333e-03,5.567026634148986020e-04
8.999999999999985789e-02,4.302117926847311424e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302117780088707266e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.365832586540659976e-01,2.971870281443911299e-03,4.577473302243006970e-04
