time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.363551043937871632e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551043937871632e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352497980853919923e-01,5.166866060631478130e-03,-2.162806782848511467e-02
9.999999999999786837e-03,4.363551048700420876e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551044306928639e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352416160957710556e-01,4.966938214156120524e-03,-2.163215031019058432e-02
1.999999999999957367e-02,4.363551038188388520e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551044643184662e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352815713427059530e-01,5.088151935387891234e-03,-2.106523507198346246e-02
3.000000000000113687e-02,4.363551060853216312e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551044978571380e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352778322929757859e-01,5.099476172648470529e-03,-2.104283210457946751e-02
4.000000000000092371e-02,4.363551047282391848e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551045313956989e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352803686043036357e-01,5.153861743326167144e-03,-2.115857492461153955e-02
5.000000000000071054e-02,4.363551031544022352e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551045644146753e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352981175790567869e-01,4.950651347107093425e-03,-2.116655146971244128e-02
6.000000000000049738e-02,4.363551057299380198e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551045965171071e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.353078484816546023e-01,5.015597736306845467e-03,-2.127626653318534511e-02
7.000000000000028422e-02,4.363551043877959557e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551046286194834e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.353102562043801305e-01,5.099498629424499552e-03,-2.153020770156185981e-02
8.000000000000007105e-02,4.363551043371041716e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551046607219708e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.353064070292692600e-01,5.079374950983497894e-03,-2.153784910554573662e-02
8.999999999999985789e-02,4.363551048736920013e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551046917107934e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352851400900256129e-01,5.135176806101093838e-03,-2.117917872404159740e-02
9.999999999999964473e-02,4.363551043500317195e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551047224111801e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352908262968567810e-01,5.106488287139110405e-03,-2.098550534713136684e-02
1.099999999999994316e-01,4.363551054248941408e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551047531115668e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352935028741314882e-01,5.106684498753594204e-03,-2.105316870272791463e-02
1.200000000000009948e-01,4.363551044520044275e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551047836844443e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.353061183647592980e-01,4.996727168096147531e-03,-2.094136074895769362e-02
1.300000000000007816e-01,4.363551043882504810e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551048137514488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.353187966171115919e-01,4.938761170629267505e-03,-2.081478776646372708e-02
1.400000000000005684e-01,4.363551054284926511e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363551048434202717e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352851238601240791e-01,5.154696445285968098e-03,-2.103721522165444280e-02
1.500000000000003553e-01,4.363551046102462361e-01,-2.078325959463799654e-14,-7.852768803322155234e-14,4.363551048790875742e-01,-1.172801460559119493e-12,-4.268704402221623243e-12,4.353154362249693765e-01,5.205917071213941871e-03,-2.103925467674885863e-02
1.600000000000001421e-01,4.363708243435782119e-01,-1.197141151971738886e-05,-4.527812502779732869e-05,4.363708987310772613e-01,-1.155259260497403622e-05,-4.371277709044891206e-05,4.353407885021517432e-01,5.065429889608855096e-03,-2.110189915122462345e-02
1.699999999999999289e-01,4.364611826823759921e-01,-1.210310244220067757e-04,-4.628785682949680051e-04,4.364612358475171705e-01,-1.203005625346986155e-04,-4.601395272188535694e-04,4.353483302546017342e-01,5.025919859528334144e-03,-2.097743401744395220e-02
