time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.300000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.299999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366650863587007159e-01,2.309457295591121895e-03,6.387263913587570840e-04
9.999999999998010480e-03,4.300605016164626426e-01,-9.027197913130520043e-07,5.340209549380772080e-05,4.300605381993475862e-01,-1.087802992203345546e-06,5.329049524631078471e-05,4.366489667375942352e-01,2.364292367747045098e-03,6.622154074745756347e-04
1.999999999999957367e-02,4.302920488008498134e-01,-1.633146797298137037e-05,5.440477357957325876e-04,4.302916058811573907e-01,-1.665554137593129312e-05,5.429648911904732525e-04,4.366885656869281540e-01,2.085671815789835737e-03,4.643884728054992195e-04
2.999999999999758415e-02,4.306929550367086246e-01,-6.667832673819569099e-05,1.853833136375409056e-03,4.306922535664547969e-01,-6.694593191615996709e-05,1.849250531244100992e-03,4.366628338240131635e-01,2.049520360065143487e-03,4.311006491276581087e-04
3.999999999999914735e-02,4.312154278512035366e-01,-1.630553830564992568e-04,4.153949468948622652e-03,4.312145528481016177e-01,-1.633071869979040459e-04,4.147206877702522276e-03,4.367285424964461038e-01,2.100708875047957447e-03,4.674207821381282102e-04
5.000000000000071054e-02,4.318064234356262521e-01,-3.091823938919984133e-04,7.485885093706863731e-03,4.318054243912373136e-01,-3.094603941851533854e-04,7.478108362453823703e-03,4.371120989661169132e-01,2.119168378070135361e-03,6.783169713446834947e-04
5.999999999999872102e-02,4.324090137922430577e-01,-5.041962644267341392e-04,1.181185338588363297e-02,4.324080046389560117e-01,-5.044651030415665469e-04,1.180263805499829309e-02,4.381420679830673182e-01,1.953791476754590528e-03,5.705532676911762024e-04
7.000000000000028422e-02,4.329655446035505229e-01,-7.445247180608833117e-04,1.704828243748617717e-02,4.329646592046501041e-01,-7.447602547293976413e-04,1.703734766923111627e-02,4.397389570546278437e-01,2.922443906970301208e-03,1.788339204556232964e-03
7.999999999999829470e-02,4.334210921917471260e-01,-1.025117575069726299e-03,2.308771000262694814e-02,4.334203780713670184e-01,-1.025355502299613291e-03,2.307578741706870981e-02,4.414867003898935716e-01,2.081708715606950255e-03,2.202492590314131249e-03
8.999999999999985789e-02,4.337263444929285727e-01,-1.340244197338949419e-03,2.981286174770678837e-02,4.337257844233170512e-01,-1.340528451376910577e-03,2.980077618492156522e-02,4.429700056649900075e-01,3.108655115638070399e-03,4.764742131939669889e-03
