time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.349999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.349999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.366650863587007159e-01,2.309457295591121895e-03,6.387263913587570840e-04
9.999999999998010480e-03,4.350616603202368537e-01,3.874191372385333226e-07,5.158651180774374574e-05,4.350617155413628034e-01,6.560227205592543381e-07,5.163628530154403201e-05,4.366489667375942352e-01,2.364292367747045098e-03,6.622154074745756347e-04
1.999999999999957367e-02,4.352937381226367752e-01,7.727873346959901816e-07,5.250870557670627705e-04,4.352935406119212702e-01,1.230841542477801396e-06,5.250395563175384080e-04,4.366885656869281540e-01,2.085671815789835737e-03,4.643884728054992195e-04
2.999999999999758415e-02,4.356948005804833213e-01,-6.600457454964848229e-06,1.788733478064856832e-03,4.356945427362376444e-01,-5.955413919553671521e-06,1.786088947186271819e-03,4.366628338240131635e-01,2.049520360065143487e-03,4.311006491276581087e-04
3.999999999999914735e-02,4.362179711514004854e-01,-2.738769700892305554e-05,4.013786003834015660e-03,4.362176881644204696e-01,-2.663915398910580935e-05,4.009942542798886414e-03,4.367285424964461038e-01,2.100708875047957447e-03,4.674207821381282102e-04
5.000000000000071054e-02,4.368116315177434372e-01,-6.417657311110157553e-05,7.249061919173105904e-03,4.368112864741821033e-01,-6.340011689825252148e-05,7.245468110339874090e-03,4.371120989661169132e-01,2.119168378070135361e-03,6.783169713446834947e-04
5.999999999999872102e-02,4.374204142390722971e-01,-1.175609064749838940e-04,1.146621122816076851e-02,4.374200419313852839e-01,-1.167802899925297216e-04,1.146252645207966776e-02,4.381420679830673182e-01,1.953791476754590528e-03,5.705532676911762024e-04
7.000000000000028422e-02,4.379879841157584552e-01,-1.868800274430302427e-04,1.659057842565710150e-02,4.379876414370135751e-01,-1.861100460191505860e-04,1.658641139236048320e-02,4.397389570546278437e-01,2.922443906970301208e-03,1.788339204556232964e-03
7.999999999999829470e-02,4.384602642251316795e-01,-2.707215725355334402e-04,2.252194451683708909e-02,4.384599907282191178e-01,-2.699802310188391635e-04,2.251729540529622334e-02,4.414867003898935716e-01,2.081708715606950255e-03,2.202492590314131249e-03
8.999999999999985789e-02,4.387882530901484057e-01,-3.672596518138824791e-04,2.914826830914090533e-02,4.387879154651734837e-01,-3.665933409352214794e-04,2.914443366481160244e-02,4.429700056649900075e-01,3.108655115638070399e-03,4.764742131939669889e-03
9.999999999999786837e-02,4.389300457798694377e-01,-4.744803562130260870e-04,3.635464403571834341e-02,4.389295643573033479e-01,-4.739058030588606720e-04,3.635188777652616221e-02,4.438277842551751062e-01,3.409555412089537718e-03,6.089265124563536524e-03
1.099999999999994316e-01,4.388519865111190077e-01,-5.903302302979013217e-04,4.402901326241517171e-02,4.388515546005146706e-01,-5.898209551322515162e-04,4.402592653938576517e-02,4.444968996995363186e-01,3.546520125604663010e-03,8.512801403871672612e-03
1.199999999999974420e-01,4.385290515763391461e-01,-7.128122256938403036e-04,5.206568209302966932e-02,4.385288870750377321e-01,-7.123506625049607710e-04,5.206134676898840907e-02,4.448658056169018105e-01,4.174316397405897217e-03,1.127602853222131607e-02
1.299999999999990052e-01,4.379446321265683117e-01,-8.400458816916661674e-04,6.036735554658563541e-02,4.379448657445202953e-01,-8.396027945418268112e-04,6.036161511618944042e-02,4.453654144089380651e-01,4.990750260724596821e-03,1.408182936735724589e-02
1.400000000000005684e-01,4.370898972800509874e-01,-9.703028753946677052e-04,6.884617060965304847e-02,4.370905077498475899e-01,-9.700373565484287849e-04,6.883949884159236421e-02,4.461117085793545600e-01,5.712121720341467590e-03,1.823494299392103279e-02
