time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
0.000000000000000000e+00,4.300000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.299999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.384862513642586723e-01,1.779092517766221737e-02,-8.442486199664145374e-02
9.999999999999786837e-03,4.320256089490988050e-01,-7.448970081731182222e-04,-2.829591173207391362e-03,4.320256020707593514e-01,-7.447455304044058337e-04,-2.830642046815985517e-03,4.384849117097401328e-01,1.787043668736976176e-02,-8.445829680387137439e-02
2.000000000000135003e-02,4.338875077795213420e-01,-1.388503367404051543e-03,-8.827471911617848846e-03,4.338876013911466822e-01,-1.388397374475694359e-03,-8.826711866316087549e-03,4.384974692829485265e-01,1.784127168106300343e-02,-8.445262579320186869e-02
3.000000000000113687e-02,4.353280856040633306e-01,-1.802663986556687827e-03,-1.738069503604844010e-02,4.353293695472816305e-01,-1.803522693562408354e-03,-1.736487598323925921e-02,4.385229899384388563e-01,1.776762652733290815e-02,-8.443789572725249326e-02
4.000000000000092371e-02,4.361942804363229675e-01,-2.016448740816811219e-03,-2.811718463600087342e-02,4.361982986361996328e-01,-2.018604405662097027e-03,-2.808104966764774293e-02,4.385108922987308588e-01,1.775502935607341237e-02,-8.442711153230886278e-02
5.000000000000071054e-02,4.363314749464223263e-01,-2.058613045456002179e-03,-4.067318141949492760e-02,4.363391858906596199e-01,-2.061810828146890765e-03,-4.062134836914385594e-02,4.390960394986187509e-01,1.771003978921112387e-02,-8.458955870330930882e-02
6.000000000000049738e-02,4.356009576272577011e-01,-1.957212026757996701e-03,-5.469279286135594886e-02,4.356107233822061886e-01,-1.960609618846079292e-03,-5.464187252891342800e-02,4.410323510522585755e-01,1.808424234606752223e-02,-8.512607590822404702e-02
7.000000000000028422e-02,4.338922026322540315e-01,-1.739447114670364218e-03,-6.982994819402903175e-02,4.339022421760660997e-01,-1.742656141905363307e-03,-6.978813180402489158e-02,4.427886796352221710e-01,1.846382716569322513e-02,-8.573274338081332546e-02
8.000000000000007105e-02,4.311306411426513718e-01,-1.431412450731692383e-03,-8.575188115783752285e-02,4.311395974794896557e-01,-1.434255827312765335e-03,-8.572143460646997060e-02,4.448071709728629308e-01,1.886165493152239248e-02,-8.723668793203831484e-02
8.999999999999985789e-02,4.272815262343307441e-01,-1.057778709177405923e-03,-1.021435902839162163e-01,4.272889727696564388e-01,-1.060255214755759798e-03,-1.021225853052099009e-01,4.461485276088832386e-01,1.941163618577668171e-02,-8.887406071895012638e-02
1.000000000000014211e-01,4.223504910505960219e-01,-6.414586499635602105e-04,-1.187126579468802817e-01,4.223562738534045735e-01,-6.435765267585069095e-04,-1.186989677638359414e-01,4.472572624003676722e-01,2.042056845439411961e-02,-9.106265877806929421e-02
1.100000000000012079e-01,4.163814137010409255e-01,-2.032925130701967792e-04,-1.351938453399199880e-01,4.163848016138465558e-01,-2.050358820154819231e-04,-1.351872413198041967e-01,4.483129155811456101e-01,2.167012575351945358e-02,-9.352191605043480571e-02
1.200000000000009948e-01,4.094522145598264995e-01,2.382121777025455111e-04,-1.513529764128975219e-01,4.094512121786076930e-01,2.368276650251759335e-04,-1.513556043177857746e-01,4.492163808163119887e-01,2.248759488326969314e-02,-9.636339234369351026e-02
1.300000000000007816e-01,4.016692047519693776e-01,6.670649466811123893e-04,-1.669897611853025376e-01,4.016625957015932946e-01,6.660602179034271842e-04,-1.670016303830199333e-01,4.504241804469145682e-01,2.371984926825244921e-02,-9.931317139163711727e-02
1.400000000000005684e-01,3.931605744881452869e-01,1.069888047800084162e-03,-1.819393551094664330e-01,3.931495611999181738e-01,1.069137125082479049e-03,-1.819566475124837768e-01,4.518057157996453466e-01,2.455039530446513629e-02,-1.021047984709610446e-01
1.500000000000003553e-01,3.840695546467102761e-01,1.435919674772520105e-03,-1.960725921586465303e-01,3.840544929633111781e-01,1.435359721285494640e-03,-1.960936654543042335e-01,4.525559976871212919e-01,2.534005807087223727e-02,-1.045667696066730490e-01
1.600000000000001421e-01,3.745477068082001537e-01,1.756930859478311735e-03,-2.092949526868981280e-01,3.745264869620064108e-01,1.756794509338734274e-03,-2.093216735220155833e-01,4.530979063811723107e-01,2.623652999708128708e-02,-1.071530222426593792e-01
1.699999999999999289e-01,3.647487051714408124e-01,2.027067254385363920e-03,-2.215444212865675666e-01,3.647235269345407982e-01,2.027173853554735741e-03,-2.215731840589016399e-01,4.535471592302693367e-01,2.802582880245423069e-02,-1.117697436804978295e-01
1.800000000000014921e-01,3.548228750003348808e-01,2.242630937540647778e-03,-2.327884541118749318e-01,3.547951524256405809e-01,2.242829451618131784e-03,-2.328173313770667552e-01,4.537953897212911869e-01,2.979200023785424922e-02,-1.161240567800242984e-01
1.900000000000012790e-01,3.449126532935704037e-01,2.401821014209616287e-03,-2.430203098354485614e-01,3.448827024410325848e-01,2.402170685712022233e-03,-2.430489001263502757e-01,4.540656388753491202e-01,3.095203797794712774e-02,-1.200286258557853314e-01
2.000000000000010658e-01,3.351490491358229407e-01,2.504449786668221621e-03,-2.522550038937764194e-01,3.351183725107515499e-01,2.504727416714577770e-03,-2.522819211182771304e-01,4.544205144450582656e-01,3.237809881809816659e-02,-1.241479109826448823e-01
2.100000000000008527e-01,3.256491031352662935e-01,2.551652171241777876e-03,-2.605251313864834772e-01,3.256189532898853267e-01,2.551770133629672511e-03,-2.605495261992246681e-01,4.548464717739340024e-01,3.417780035762513213e-02,-1.305022495572551455e-01
2.200000000000006395e-01,3.165142864263434386e-01,2.545601981338603027e-03,-2.678767717214300959e-01,3.164854388580733979e-01,2.545448241654669867e-03,-2.678983470301695147e-01,4.549920433464498259e-01,3.542774947850835243e-02,-1.351213347126621334e-01
2.300000000000004263e-01,3.078297360126051596e-01,2.489246881164990880e-03,-2.743656473633202530e-01,3.078021768936424207e-01,2.488829624415249235e-03,-2.743847732804678419e-01,4.549858000410368364e-01,3.711760121142132496e-02,-1.408079703536831429e-01
2.400000000000002132e-01,2.996641971384755299e-01,2.386070497673042218e-03,-2.800536633986732138e-01,2.996386743386112439e-01,2.385364715130649203e-03,-2.800701180003202784e-01,4.545857722685413549e-01,3.940535031483259620e-02,-1.482183156728369700e-01
2.500000000000000000e-01,2.920705329424387875e-01,2.239886150335578582e-03,-2.850059093328266568e-01,2.920465370493982582e-01,2.238995272268781873e-03,-2.850203550866669544e-01,4.543060787703577796e-01,4.075577193050031882e-02,-1.527832243915583643e-01
2.599999999999997868e-01,2.850866612188580063e-01,2.054665164637095413e-03,-2.892881638310302317e-01,2.850646623664611634e-01,2.053608684502582389e-03,-2.893005464564514795e-01,4.538656136823913112e-01,4.254715821192340403e-02,-1.590385149782283514e-01
2.700000000000013500e-01,2.787367885543213242e-01,1.834399607109509379e-03,-2.929649079206982365e-01,2.787166771387173392e-01,1.833252530299505322e-03,-2.929755365867470207e-01,4.532040331559229474e-01,4.455101759810728423e-02,-1.648464691273185678e-01
2.800000000000011369e-01,2.730328279163447558e-01,1.582997348004085017e-03,-2.960978246477675713e-01,2.730146766343902187e-01,1.581787210106253656e-03,-2.961068560650990666e-01,4.523655625256166601e-01,4.599003900756084423e-02,-1.710820863647744550e-01
2.900000000000009237e-01,2.679759039660779552e-01,1.304206725968326498e-03,-2.987447433198345270e-01,2.679620319081023050e-01,1.302756391439314522e-03,-2.987511014565140122e-01,4.513874974567688714e-01,4.768322140083270516e-02,-1.768955609232451542e-01
3.000000000000007105e-01,2.635578708114340030e-01,1.001566586021772733e-03,-3.009589734872361588e-01,2.635485592523512666e-01,9.998579681954034536e-04,-3.009627500709645131e-01,4.498928104102948300e-01,5.011717928855333876e-02,-1.842903628760717283e-01
3.100000000000004974e-01,2.597627853716070745e-01,6.783776095339588696e-04,-3.027889672623069184e-01,2.597572641669608218e-01,6.764619719314492229e-04,-3.027907581741776655e-01,4.481897619247202647e-01,5.226444026753390704e-02,-1.914576246986032515e-01
3.200000000000002842e-01,2.565682968766634930e-01,3.376904907943147766e-04,-3.042782469580339044e-01,2.565690918330144066e-01,3.353591130096718505e-04,-3.042769784544104295e-01,4.469303084354768751e-01,5.310293227479943173e-02,-1.960217246214048248e-01
3.300000000000000711e-01,2.539469272718604120e-01,-1.769306421196804001e-05,-3.054655373263420182e-01,2.539507088680982849e-01,-2.019104124751378362e-05,-3.054629328864934545e-01,4.453801642954591244e-01,5.420854596407937570e-02,-2.013754877737952420e-01
3.399999999999998579e-01,2.518672288831465544e-01,-3.852101120865106254e-04,-3.063850466345759971e-01,2.518759655371303197e-01,-3.880382255478508503e-04,-3.063802942435686627e-01,4.434898821070404340e-01,5.577445997691198032e-02,-2.074075591276906549e-01
3.500000000000014211e-01,2.502948148586132127e-01,-7.625204058018207869e-04,-3.070668474476480614e-01,2.503072765422149071e-01,-7.655854027235589783e-04,-3.070605629012368443e-01,4.422575967721431578e-01,5.698165077794834638e-02,-2.110772290398715278e-01
3.600000000000012079e-01,2.491932636909757748e-01,-1.147486754304075660e-03,-3.075373154712939816e-01,2.492068036077010051e-01,-1.150584555273111631e-03,-3.075306866612657619e-01,4.406343548516985509e-01,5.863797684300411928e-02,-2.155314065056587181e-01
3.700000000000009948e-01,2.485249042998933511e-01,-1.538154445000617645e-03,-3.078195924418927754e-01,2.485409875564767446e-01,-1.541393675159571973e-03,-3.078120029537273483e-01,4.352070475999104682e-01,6.153709464662917433e-02,-2.290570270847248069e-01
3.800000000000007816e-01,2.482514893406055356e-01,-1.932730506054269144e-03,-3.079340464391963628e-01,2.482672948286013537e-01,-1.935900798219666527e-03,-3.079266516970772249e-01,4.327403790662900374e-01,6.231415538443194069e-02,-2.346843001398327133e-01
